Marca temporal,Barrio,Descripción de los daños o asistencia solicitada,categorias
4/3/2017 22:41:37,San Cayetano ,"Autos , lavarropas, mesa de pool,mesa comedor, heladera, amoblamiento de cocina, sillones, calefactores, sillas , cerámicas....",
4/3/2017 22:41:53,Cordón Forestal,"Rotura de cercos perimetrales, rotura de caños principales de cercos, rotura de camino interno, rotura de embrague de vehículo corsa 2006, pérdida de animales (gallinas, pollitos, ovejas y cerdos)",
4/3/2017 22:43:43,Malvinas argentinas,Inundacion de patio. Solicito maquinas para descargar tierra. Ademas maquina para la calle amanecer!,
4/3/2017 22:45:22,Moure,Sedio el terreno y cayó parte del techo y paredes,
4/3/2017 22:43:48,Central...Km8.. ,"Filtración en techo de cocina, baño  dormitorio de niños.... con caída parcial de mampostería.. casa totalmente humedecida... ",
4/3/2017 22:44:12,San Martin,Techo de dormitorio y baño s daño la cama y ropa ,
4/3/2017 22:44:13,San Martin,Techo de dormitorio y baño s daño la cama y ropa ,
4/3/2017 22:44:20,San Martin,Techo de dormitorio y baño s daño la cama y ropa ,
4/3/2017 22:46:08,San Martin,Techo de dormitorio y baño s daño la cama y ropa ,
4/3/2017 22:46:25,San Martin,Techo y paredes totalmente perdidas el pizo intransitables muebles electrodomesticos cosina heladera cillones sillas mesa aparador mesada alacena labaropa cecaropa cama ropa en general ,
4/3/2017 22:47:37,30 de Octubre,"Entrada de agua y barro, cloaca desbordada donde se perdieron colchones de una y dos plazas y de una cuna, ya que la cuna funcional tambien se mojo, incluyendo sus respectivas frazadas. Mesada, lavarropas, cocina, heladera, dañadas por el barro (el agua dio vuelta la heladera)",
4/3/2017 22:48:13,Jorge Newbery,Se me callo el serco de mi pasillo no tengo salida y tambien en la parte del frente de mi casa ,
4/3/2017 22:49:07,Consorcio Eva Perón máximo abasolo,Mi casa en mal estado la paredes se debilitaron a causa del barro y el agua  perdí todo colchones ropa quede con lo puesto. ,
4/3/2017 22:49:35,Rada tilly,"Rotura de motor de heladera exhibidor 
Filtraciones que arruinaron parte del cielo raso de durloc y pintura de las paredes 
Rotura se televisor
Daño en instalacion electrica",
4/3/2017 22:52:01,Laprida,se partio la losa de la habitacion por el peso del lodo q cayo del terreno del vesino...se filtro el agua por la losa y por el costado de la pared...En la vivienda q estamos viviendo q es prestada. estabamos por empesar a construir en un terreno q solicitamos en manantiales el cual fue arrasado porla lluvia el cerco y la casilla q estabamos construyendo. La ayuda q necesito es poder acondicionar mi terreno y volver a construir una vivienda en el terreno en manantial rosales. Porq en la vivienda q nos habian prestado en laprida ya no podemos estar. Mi familia esta constituida por tres hijos ymi marido Espero su pronta respuesta muchas gracias. ,
4/3/2017 22:54:15,Km8,Techo y me revento los cano de agua y cluacą y me paso la agua por el techo mucho,
4/3/2017 22:54:29,zona de quinta 1 maximo avasolo,"se inundo mi casa por perdida de cloacas ,se mojaron muebles y colchones",
4/3/2017 22:54:44,Jorge Newbery,La casa al borde del derrumbe,
4/3/2017 22:55:16,30 de Octubre,"Entrada de agua y barro por encima de los enchufes, cloaca desbordada, que ocasionaron perdida de electrodomésticos pequeños, sillones y somier de dos plazas con sus respectivas frazada, un home fiester y una lustradora",
4/3/2017 22:55:57,Juan XXIII,Casa inundada con barro y agua al dia de la fecha no pude ingresar 3/4/2017,
4/3/2017 22:58:44,Standart norte,Inundación de casa,
4/3/2017 22:59:54,Juan XXlll,Calefactores heladera lava ropa automatico cocina equipo de musica colchones ,
4/3/2017 23:01:28,Pueyeredon,Totales,
4/3/2017 23:01:43,Pueyrredon,"Toda mi cuadra esta llena de barro y entro agua a mi vivienda, necesitariamos limpiar mi cuadra del barro para que la lluvia del jueves no vuelva a hacer estragos en esta zona que ya esta bastante destrozada, gracias ",
4/3/2017 23:01:55,Standart Norte Km 8,"Se me entro unos 15 cm de agua en todo el interior de la casa, debido al agua de cloacas y las intensas lluvias.",
4/3/2017 23:06:17,Extension Abasolo,filtro agua ..humedad en las paredes de madera..se m inundo ,
4/3/2017 23:08:01,Juan XXIII,"Perdida de heladera. Lavaropa , mueble, dañp en paredes, pizos , veredas y mas ...detruccopn total",
4/3/2017 23:09:47,divina providencia (ex caballerizas),Máquina para sacar barro del cerro q  se derrumbo y entro en mi casa,
4/3/2017 23:10:27,San Cayetano,Techo se de casaa y baño  se desrumbbo ,
4/3/2017 23:10:28,San Cayetano,Techo se de casaa y baño  se desrumbbo ,
4/3/2017 23:11:10,Las Flores,"Inundación afectó pieza y comedor provocando roturas de paredes, sistema eléctrico, destrozando así mismo cama, placard y demás muebles.",
4/3/2017 23:11:56,Castelli,"Solicito materiales, ya q se me filtró el lodo por las paredes. Ladrillos,cal,cemento. Placas de durlok.pintura.",
4/3/2017 23:11:56,Castelli,"Solicito materiales, ya q se me filtró el lodo por las paredes. Ladrillos,cal,cemento. Placas de durlok.pintura.",
4/3/2017 23:12:13,Ameghino Nuevo,Paredon caido. Barro en todo el patio y casa inundada,
4/3/2017 23:12:20,Pueyrredon,Alacenas tv cama cochon mesa ropa de cama ropa calzado heladera cuñas computadoras frazadas valijas,
4/3/2017 23:12:56,Juan XXIll,Heladera  computadora muebles sillones tv ,
4/3/2017 23:13:59,Standard sur,Se  formó un cráter el pozo ciego!,
4/3/2017 23:14:08,Pueyrredon,"Perdida total de la casa y paredon , heladeras frezzer electrodomesticos mesadas camas , frazadas mesas sillas sillones toda la ropa y zapatos televisores mesadas lavavajilla plancha colchones horno microondas y toda una vida de sacrificios ",
4/3/2017 23:15:12,Juan XXIII,Perdí todo ropero heladera tele lavarropas. Ropa calzado sillón sillas mesa electrodomésticos. Casa. Con grietas metro de altura de agua. Pintura. Corrida por la humedad la mesada. el bajo mesada lo arranco de la pared.  Sin luz Cámara de foto todo lodo en todos lados la calle inaccesible. Las cloacas entraron en la casa y aun no pueden usarse. La bomba que subía el agua al tanque no anda. Más no tengo agua necesito electricistas.  Me quede sin radio sin libros sn nada. Necesitamos que limpien a nuestra cuadra no va nadie para rescatar cosas debo entrar nadando en el metro de barro. Y alguien que recoja todas las cosas que vamos sacando pasadas de agua de cloaca. El sumier. Las frazadas las Sábanas todo ,
4/3/2017 23:15:36,Pueyrredon,"Heladera, frezzer,mesa,6 sillas, microondas, muebles y demas, 2 autos (vw gol 2007; Toyota Corolla 2012) .",
4/3/2017 23:17:00,Pueyrredon ,"Muebles, cocina,heladera,mesa ,sillas ,lavarropa,auto, elementos de cocina y de baño ",
4/3/2017 23:18:08,Stella maris,"Perdida total de todo...Lo más necesito es el destape de cloacas para así poder desinfectar de apoco acumulación de tierra en terreno, demasiada..El resto perdida material de to",
4/3/2017 23:18:27,Juan XXIII,"Destruccion total de tres dormitorios , somiers, placard , tv,comodas, frazadas, etc. Producto de inundacion por ingreso de agua y lodo. Actualmente me encuentro viviendo en casa de mi hija.",
4/3/2017 23:19:07,Pueyrredón,"Tuvimos 1,5 mtrs de agua en el domicilio provacandonos daños totales",
4/3/2017 23:20:24,San Cayetano,Goteras en mi pueiesa y baño,
4/3/2017 23:21:10,Standart Norte ,Entreo medio metro de agua y barro en casa mojando heladera lavarropa y muebles y el.auto que estaba en el patio que tambien se mojo ,
4/3/2017 23:22:08,Las Flores,Se desvordo el cerro ,
4/3/2017 23:22:19,Maximo abasolo,Se mojaron los 3colchones ...frazadas y sabanas....también mucha humedad en el contrapiso...necesitaría materiales para hacerlo bien...,
4/3/2017 23:23:52,San Cayetano,Agua interna hasta metro y medio. Barro por 2 metros. Sin electricidad. Elementos de limpieza y agua.,
4/3/2017 23:23:54,Presidente Ortiz,Entro agua al domicilio en la rejilla del baño y pileta de cocina por desborde de la cloaca no tiene llave de retencion y por la entrada del vehiculo ingreso el rio de la calle nazca.en la calle jose ingeniero se hizo la laguna y con el oleaje de vehiculos ingreso por el frente esa agua.no hay agua hoy lunes en km 5 se pidio agua y ropa seca.,
4/3/2017 23:23:58,Barrio Sarmiento  (valle c),Se me rompió el entre techo de la pieza y goteras en el comedor y lavadero ,
4/3/2017 23:25:02,Laprida,Chapas  tirantes y muro de contención,
4/3/2017 23:25:57,Sarmiento  (valle c),Rotura en el techo del lavadero. Cortó circuitos electrónicos. Liza del comedor ,
4/3/2017 23:25:58,Sarmiento  (valle c),Rotura en el techo del lavadero. Cortó circuitos electrónicos. Liza del comedor ,
4/3/2017 23:26:38,Centro,Filtracion de agua en paredes- solicito membrana y pintura impermeabilizante.,
4/3/2017 23:27:12,Juan XXlll,Inundacion de 80cm perdidas totales en casa y camioneta electrodomesticos flotando,
4/3/2017 23:27:15,Moure ,rotura de paredon inundacion destroso de muebles y colchones ,
4/3/2017 23:29:26,Rene Favaloro km 14,Caída de cielorraso parte superior y patio con muchísimo lodo. Pozo ciego se rebalso. ,
4/3/2017 23:31:10,Pueyrredón,"Pérdida de mercadería, el agua  dentro de la farmacia superó el metro, destruyó los muebles, heladeras, computadoras, sistema de monitoreo, documentación. Necesitamos en forma urgente una máquina que saque el metro de barro que tenemos en la calle.",
4/3/2017 23:31:28,Pueyrredon,heladera televisor cama y colchon,
4/3/2017 23:31:53,Pietrobelli,Daños cerco perimetral y pasaje público  caídos dentro de mi domicilio!,
4/3/2017 23:32:00,Cordon Forestal ,El agua me hizo una sanja d unos tres metros q dividio el terreno en dos y me tiro todo el alambrado y la parte d atras y la del costado derecho del terreno ...,
4/3/2017 23:32:25,Estandart norte,Cayo techo de durloc completo perdida de heladera tv lavarropas ,
4/3/2017 23:32:48,Pueyrredon,"Colçhones 2 plaza y 1 plaza frasadas heladera lavarropas mesa sillas ropa,chifoner (2)  ropero",
4/3/2017 23:33:21,Standart Norte,"Muebles inundados  ,lavarropa ,heladera , somiers ,auto ... ",
4/3/2017 23:33:31,Divina providencia km 3,Necesito máquina .se me vino cerró .me esta afectando la casa la parte atrás tapó más d la mitad .y me afecta la humedad a pesar q metro baste Agua y ay peligro q se siga derrumbando el cerro gracias. .,
4/3/2017 23:33:33,Pueyrredon,Perdidas en un 90 %  ingreso un metro de agua al domicilio somos cuatro en la familia dos menores dos mayores ,
4/3/2017 23:35:36,Standart Norte,"Muebles inundados  ,lavarropa ,heladera , somiers ,auto ... y asistencia del regimiento km 11 ",
4/3/2017 23:35:47,San cayetano,Techo un dormitorio ,
4/3/2017 23:36:14,Jorge newery,Techo en  piezas y cocina  y paredes. ,
4/3/2017 23:36:46,Juan XXIII,Inundacion de 80cm perdidas totales en electrodomesticos y mobiliarios mas vehiculo,
4/3/2017 23:37:27,Laprida,"MI CASA SE HA DESTRUIDO , PORQUE HA CAIDO SOBRE ELLA UN PAREDON DE HORMIGON ARMADO,LUEGO DE UN ALUD QUE EMPUJO EL PAREDON DE MI VECINO ,CABE ACLARAR QUE VIVO EN UN DESNIVEL CON LOS VECINOS Y QUE MI CASA ERA DE CHAPA,POR ELLO CUANDO CAE EL PAREDON PARTE LA CASA EN TODA SU EXTENSION,POR DONDE ENTRA TODO EL LODO Y OBVIAMENTE ES IMPOSIBLE HABITAR YA QUE SE ESTA DERRUMBANDO LENTAMENTE,SOLICITO LA COLABORACION PARA HACERME DE UNA VIVIENDA NUEVA YA QUE LA MIA ES IMPOSIBLE REPARAR,SE ENCUENTRA CON UN PELIGRO EMINENTE DE CAER.",
4/3/2017 23:37:38,Pietrobelli,Cerco y pasaje público caídos dentro de mi domicilio  solicitó muro de contencion,
4/3/2017 23:37:57,Laprida,Goteras en toda la casa y el techo  esta q se caee ..medio a derrumbe,
4/3/2017 23:38:03,Juan XXIII,"Inundacion casa completa perdida de colchones,roperos,heladera,tele,cocina y algunos muebles",
4/3/2017 23:38:16,Cordon Forestal,Rotura de medianera latera 20 metros por 2.40 de alto pared de bloques. Rotura de porton (lo arranco el caudal de agua medida 3.50 x 2mts) Daños en instalacion electrica .Daños en la vereda 4mts por 3mts .,
4/3/2017 23:39:13,Cordon Forestal,"Necesitamos una retro y camiones con ripio. Agua potable, leña y atmosferico. ",
4/3/2017 23:40:08,Quirno Costa ,Perdida de colches     Filtro agua ,
4/3/2017 23:42:03,San Cayetano,Lavarropas camas sillones placard sillas mesa heladera ropa utiles escolares calzado,
4/3/2017 23:43:49,Presidente Ortiz km5 ,"piso, alfombra,  ropero, puertas, heladera lavarropa, equipo de música, ropa, colchones, frazadas , sábanas, calaventor, etc. ",
4/3/2017 23:43:55,Pueyrredon ,"Siendo la 3 vez que pierdo todo heladera lavarropas cocina  colchones etc ,quiero ver la posibilidad de un subsidio para levantar mi casa a un nivel que el agua no ingresé en otra tormenta o lluvia fuerte ",
4/3/2017 23:46:32,Sarmiento,"Perdi muebles, heladera, sillon, silla, mesa, cama, comoda",
4/3/2017 23:47:19,Rodriguez peña este ,Daño en techo ventanas puertas ,
4/3/2017 23:48:45,Pueyrredon,1 m de nivel de agua en domicilio. Imperiosa Urgencia en liberar la calle de arena con máquinas viales. Gracias!,
4/3/2017 23:49:19,Laprida ,Inundación en la casa perdida del baño,
4/3/2017 23:49:24,barrio los panadero,Perdidas total y no recibí ayuda tengo cuatro chicos ,
4/3/2017 23:49:51,Pueyrreedon,Urgente!!!! Máquina vial para sacar arena de la calle. Gracias,
4/3/2017 23:51:03,San Cayetano,Filtraciones de agua por paredes y techo. ,
4/3/2017 23:51:41,Cordon Forestal,El agua me hizo una sanja d unos tres metros q dividio el terreno en dos y me tiro todo el alambrado y la parte d atras y la del costado derecho del terreno ...,
4/3/2017 23:52:22,Pueyrredon,El agua llegó al metro. Perdimos electrodomésticos y dos autos. ,
4/3/2017 23:53:34,Usina,Por el ingreso de agua al domicilio se me rompió la heladera ,
4/3/2017 23:54:19,Pueyrredon,Máquinas para sacar el barro de las calles y destapar desagües.  Gracias,
4/3/2017 23:54:40,Jorge Newbery,Una vivienda hizo presión sobre el muro de contension y lo derribó esto hizo que caiga sobre la vivienda destruyéndola totalmente y luego cayó la casa que presionó el muro,
4/3/2017 23:54:53,Pueyrredon,Desapareció mi vereda.Cantero.quedamos tapados en barro.Se quemó la térmica el distinto nos quedamos sin luz porque se estropeó un cable subterráneo. Frazadas .Ropa .zapatos.Zapatillas.Necesitamos que limpien la calle Gaceta de un metro y medio de barro .la vereda,
4/3/2017 23:54:55,Standart zona de quintas km8,"Ropa, frazadas, colchon, almohadas,sábanas,calzado,pintura,Lavarropas,freezer",
4/3/2017 23:56:37,Pueyrredon ,"Mobiliario. Cocinas . Heladeras. Lavarropas . Sommier. Calefacción. Vanitorys 
Automotor. Mesadas. Puertas . Placares. Ropa y calzado.paredes. cloacas. Daños totales.",
4/3/2017 23:59:04,Pueyrredon,"SE ME ARRUINARON PLACARES, FUTON, CAMAS Y COLCHONES, LA INUNDACION ME OBLIGA A CAMBIARME DE ALQUILER, SE ME MOJARON LA HELADERA, LAVARROPAS Y ALACENA",
4/3/2017 23:59:21,Barrio ameghino nuevo,"Acumulación de barro calles Miguel
Cane y olegario Andrade e ingresó al
Patio de la casa y garage",
4/4/2017 0:00:10,San Cayetano ,Daño 80 porciento,
4/4/2017 0:00:16,San Martin ,Necesito chapas canaletas y tirantes para el techo está que se cae!!,
4/4/2017 0:00:40,Juan XXIII,Evaluación del Terreno,
4/4/2017 0:00:53,Laprida,daños en las paredes y parte dl techo q se cayo,
4/4/2017 0:02:31,Maximo Abasolo,"Se cayó el techo interno de mi casa, son 12 m2 de durlo.",
4/4/2017 0:05:26,Máximo Abasolo,Tengo todo inundado y perdí mis muebles,
4/4/2017 0:05:46,Juan XXIII ,Materiales,
4/4/2017 0:07:34,Juan XIII,"Juego de sillones, impresora, heladera,somier, colchon , cocina, heladera, colchón cuna de bebe, frazadas, sabanas, calefactores.",
4/4/2017 0:08:48,Las Flores,Derrumbe de cerro.mi casa quedo colgada en el cerro,
4/4/2017 0:09:15,Standar norte,"Se inundó mi casa perdí todo camas, lavarropas, heladera, cocina, colchones, televisor, sillones, mesas, bajo mesada, modular, escritorio, chifonier, ropa, frazadas, sábanas, cortinas, mesa ratona, mesas de luz.",
4/4/2017 0:09:33,Pietrobelli,Entrada de agua como vertiente daño en todas las paredes y chapas de techo,
4/4/2017 0:10:31,Standar norte,"Se inundó mi casa perdí todo camas, lavarropas, heladera, cocina, colchones, televisor, sillones, mesas, bajo mesada, modular, escritorio, chifonier, ropa, frazadas, sábanas, cortinas, mesa ratona, mesas de luz.",
4/4/2017 0:10:36,Pueyrredon,Energía eléctrica y máquina ,
4/4/2017 0:10:39,Km 17,Techo,
4/4/2017 0:11:43,Standart,Erramientas de trabajo cocina industrial frizer heladeras  de puerta de vidrio estanterias tenemos catering y sonidos equipos de sonidos parlantes potencias y luces.,
4/4/2017 0:14:10,Abel Amaya,"Muebles de cocina, sillones,lavarropas, heladera, freezer,libros, ropa de cama,colchón,cama, juguetes,vehículos,herramientas y víveres.",
4/4/2017 0:16:58,30 de octubre,Se callo el techo del baño y se rompieron dos ventanas.. ,
